id	label	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20	col21	col22	col23	col24	col25	col26	col27	col28	col29	col30	col31	col32	col33	col34	col35	col36	col37	col38	col39	col40	col41	col42	col43	col44	col45	col46	col47	col48	col49	col50	col51	col52	col53	col54	col55	col56	col57	col58	col59	col60	col61	col62	col63
F43	0	0.56	0.22	0.66	0.53	0.12	0.5	0.11	0.11	0.36	1	0.12	0.18	0.19	0.19	0.07	1	0.26	1	0.38	0.03	0.38	0.16	1	1	0.48	0.13	0.27	0.25	0.4	0.05	0.31	1	0.37	0.43	0.21	0.05	0.15	0.15	0.49	0.57	0.11	0.38	0	0.1	0.08	0.1	0.06	0.09	0.12	0.09	0.22	0.33	0.59	0.07	0.08	0.64	0.17	0.25	0.68	0.12	0.1	0.17	0.11
F44	0	0.19	0.11	0.13	0.16	0.03	1	0.05	0.09	0.07	0.13	0.13	0.11	0.13	0.11	0.05	0.12	0.18	0.2	0.14	0.09	0.17	0.25	0.16	0.13	0.25	0.2	0.13	0.1	0.29	0.09	0.11	0.15	0.26	0.45	0.23	0.05	0.18	0.1	0.25	0.48	0.07	0.15	0.02	0	0.08	0.05	0.05	0.04	0.1	0.04	0.08	0.2	0.35	0.03	0.03	0.18	0.08	0.14	0.32	0.06	0.17	0.06	0.13
F45	0	0.26	0.19	0.4	0.28	0.13	0.41	0.33	0.26	0.33	1	0.09	0.1	0.29	0.16	0.09	0.13	0.35	0.33	0.19	0.16	0.18	0.2	0.09	0.03	0.53	0.06	0.26	0.26	0.15	0.08	0.1	0.06	0.2	1	0.06	0.05	0.23	0.09	0.15	0.4	0.11	0.15	0.04	0.18	0	0.02	0.07	0.07	0.37	0.09	0.04	0.21	0.19	0.16	0.12	0.29	0.23	0.76	0.74	0.21	1	0.14	0.2
F46	0	0.12	0.39	0.29	0.38	0.21	0.36	0.12	0.08	0.13	0.26	0.38	0.32	0.4	0.48	0.1	0.12	0.08	0.29	0.2	0.16	0.62	0.14	0.05	0.03	0.32	0.18	0.29	0.72	0.32	0.07	0.07	0.04	0.86	0.34	0.08	0.06	0.12	0.08	0.33	0.29	0.19	0.2	0.07	0.16	0.03	0	0.09	0.07	0.27	1	0.03	0.27	0.22	0.11	0.23	0.25	0.14	0.18	0.6	1	0.15	0.51	0.23
F47	0	0.19	0.33	0.52	0.65	0.07	1	0.14	0.35	1	1	0.27	1	0.21	0.34	0.15	0.1	0.11	0.37	0.33	0.21	0.85	0.47	1	0.06	1	0.27	0.38	0.23	1	0.09	0.16	1	0.35	0.33	0.29	0.09	0.09	0.11	1	0.88	0.15	0.34	0.04	0.14	0.09	0.08	0	0.08	0.15	0.18	0.08	0.57	0.31	0.13	0.17	0.64	0.17	0.41	0.56	0.16	0.09	0.25	0.38
F48	0	0.31	0.44	0.24	0.27	0.23	0.41	0.08	0.05	0.22	1	0.1	0.4	0.17	0.18	0.08	0.05	0.11	1	0.53	0.11	0.32	0.38	0.16	0.07	0.54	0.14	0.22	0.16	0.18	0.05	0.09	0.04	0.24	0.22	0.14	0.09	0.31	0.13	0.18	0.18	0.1	0.18	0.05	0.1	0.08	0.05	0.07	0	0.18	0.14	0.06	0.16	0.5	0.04	0.06	0.21	0.12	0.15	0.37	0.32	0.68	0.07	0.11
F49	0	0.24	0.04	0.11	0.18	0.1	0.95	0.11	0.15	0.12	0.13	0.27	0.16	0.09	0.12	0.03	0.1	0.09	0.07	0.14	0.09	0.1	0.5	0.65	0.2	0.22	0.05	0.08	0.06	0.2	0.46	0.17	0.35	0.14	0.13	0.24	0.07	0.08	0.12	0.21	0.47	0.11	0.19	0.08	0.33	0.56	0.28	0.17	0.24	0	0.07	0.67	0.22	0.1	0.09	0.04	0.12	0.04	0.09	0.14	0.06	0.06	0.06	0.09
F50	0	0.42	0.07	0.19	0.19	0.35	0.55	0.1	0.58	0.15	0.14	0.14	0.14	0.12	0.09	0.06	0.12	0.08	0.2	0.09	0.1	0.08	0.4	0.12	0.02	0.25	0.03	0.07	0.14	0.13	0.48	0.14	0.38	0.17	0.46	0.14	0.06	0.16	0.06	0.13	0.25	0.04	0.14	0.06	0.12	0.13	0.96	0.19	0.17	0.06	0	1	0.17	0.22	0.04	0.04	0.16	0.12	0.2	0.2	0.07	0.06	0.07	0.23
F51	0	0.2	0.85	0.52	0.64	0.21	0.23	0.15	0.18	0.62	0.26	1	0.33	1	1	0.12	1	0.4	1	1	0.06	1	0.24	0.03	0.01	0.21	0.1	1	0.74	0.17	0.01	0.05	0.05	0.45	0.39	0.26	0.07	0.04	0.15	0.28	0.71	1	0.16	0.24	0.41	0.09	0.05	0.13	0.11	1	1	0	0.87	0.47	0.29	1	0.22	0.85	0	0.7	0.07	0.1	0.12	0.18
F52	0	0.38	0.08	0.07	0.14	0.1	0.25	0.08	0.1	0.14	0.13	0.07	0.18	0.13	0.09	0.04	0.09	0.08	0.08	0.13	0.09	0.11	0.61	0.1	0.05	0.41	0.06	0.05	0.07	0.1	0.15	0.14	0.06	0.13	0.15	0.6	0.04	0.22	0.17	0.1	0.24	0.06	0.13	0.07	0.21	0.1	0.09	0.2	0.06	0.07	0.06	0.18	0	0.11	0.04	0.04	0.09	0.12	0.15	0.26	0.11	0.08	0.05	0.17
